"numforgame","rowforgame","inning","id","Base1","Base2","Base3","out","away","home","Player","direction","result","follow.up","log"
"1","1","1上","","NA","NA","NA","零出局","義大(0)","(0)統一","","","","0","1上"
"1","2","1上","第一棒","NA","NA","NA","一出局","義大(0)","(0)統一","胡金龍","內","刺殺封殺","0","1.第一棒CF胡金龍:內野滾地球，3B接到傳向一壘刺殺打者，一出局"
"1","3","1上","第二棒","NA","NA","NA","一出局","義大(0)","(0)統一","鄭達鴻","右","一壘安打","0","2.第二棒LF鄭達鴻:右外野一壘安打"
"1","4","1上","第三棒","NA","NA","NA","二出局","義大(0)","(0)統一","李那瑞","左","接殺","0","3.第三棒1B李那瑞:外野飛球遭到LF接殺，二出局"
"1","5","1上","","NA","NA","NA","二出局","義大(0)","(0)統一","","","盜壘","0","盜壘成功，鄭達鴻上到二壘"
"1","6","1上","第四棒","NA","NA","NA","三出局","義大(0)","(0)統一","林益全","內","封殺","0","4.第四棒DH林益全:內野滾地球，投手接到自踩一壘壘包，三出局"
"1","7","1上","","NA","NA","NA","三出局","義大(0)","(0)統一","","","","0","義大(0):(0)統一"
"1","8","1下","","NA","NA","NA","零出局","義大(0)","(0)統一","","","","0","1下"
"1","9","1下","第一棒","NA","NA","NA","一出局","義大(0)","(0)統一","劉芙豪","內","接殺","0","1.第一棒RF劉芙豪:內野平飛球遭到1B接殺，一出局"
"1","10","1下","第二棒","NA","NA","NA","一出局","義大(0)","(0)統一","郭俊佑","","保送","0","2.第二棒CF郭俊佑:觸身球保送"
"1","11","1下","第三棒","NA","NA","NA","二出局","義大(0)","(0)統一","潘武雄","中","接殺","0","3.第三棒LF潘武雄:外野飛球遭到CF接殺，二出局"
"1","12","1下","第四棒","NA","NA","NA","三出局","義大(0)","(0)統一","鄧志偉","","三振","0","4.第四棒DH鄧志偉:三振，三出局"
"1","13","1下","","NA","NA","NA","三出局","義大(0)","(0)統一","","","","0","義大(0):(0)統一"
"1","14","2上","","NA","NA","NA","零出局","義大(0)","(0)統一","","","","0","2上"
"1","15","2上","第五棒","NA","NA","NA","一出局","義大(0)","(0)統一","鄭兆行","右","接殺","0","1.第五棒3B鄭兆行:外野飛球遭到RF接殺，一出局"
"1","16","2上","第六棒","NA","NA","NA","二出局","義大(0)","(0)統一","張建銘","中","接殺","0","2.第六棒RF張建銘:外野飛球遭到CF接殺，二出局"
"1","17","2上","第七棒","NA","NA","NA","三出局","義大(0)","(0)統一","陳凱倫","中","接殺","0","3.第七棒2B陳凱倫:外野飛球遭到CF接殺，三出局"
"1","18","2上","","NA","NA","NA","三出局","義大(0)","(0)統一","","","","0","義大(0):(0)統一"
"1","19","2下","","NA","NA","NA","零出局","義大(0)","(0)統一","","","","2","2下"
"1","20","2下","第五棒","NA","NA","NA","一出局","義大(0)","(0)統一","陳鏞基","右","接殺","2","1.第五棒SS陳鏞基:外野飛球遭到RF接殺，一出局"
"1","21","2下","第六棒","NA","NA","NA","二出局","義大(0)","(0)統一","高國慶","","三振","2","2.第六棒1B高國慶:三振，二出局"
"1","22","2下","第七棒","NA","NA","NA","二出局","義大(0)","(0)統一","黃恩賜","右","一壘安打","2","3.第七棒3B黃恩賜:右外野一壘安打"
"1","23","2下","第八棒","NA","NA","NA","二出局","義大(0)","(0)統一","高志綱","左","二壘安打","2","4.第八棒C高志綱:左外野二壘安打，帶有一分打點"
"1","24","2下","","NA","NA","NA","二出局","義大(0)","(1)統一","","","盜壘","2","義大(0):(1)統一盜壘成功，高志綱上到三壘"
"1","25","2下","第九棒","NA","NA","NA","二出局","義大(0)","(1)統一","王寶篁","右","一壘安打","2","5.第九棒2B王寶篁:中右外野一壘安打，帶有一分打點"
"1","26","2下","","NA","NA","NA","三出局","義大(0)","(2)統一","","","盜壘失敗","2","義大(0):(2)統一王寶篁盜二壘失敗，三出局"
"1","27","2下","","NA","NA","NA","三出局","義大(0)","(2)統一","","","","2","6.義大(0):(2)統一"
"1","28","3上","","NA","NA","NA","零出局","義大(0)","(2)統一","","","","1","3上"
"1","29","3上","第八棒","NA","NA","NA","一出局","義大(0)","(2)統一","林琨笙","內","封殺","1","1.第八棒C林琨笙:內野滾地球，SS接到傳向一壘，一出局"
"1","30","3上","第九棒","NA","NA","NA","一出局","義大(0)","(2)統一","林威廷","左","二壘安打","1","2.第九棒SS林威廷:左外野二壘安打"
"1","31","3上","第一棒","NA","NA","NA","一出局","義大(0)","(2)統一","胡金龍","右","一壘安打","1","3.第一棒CF胡金龍:右邊方向穿越一壘安打，帶有一分打點"
"1","32","3上","","NA","NA","NA","一出局","義大(1)","(2)統一","","","","1","義大(1):(2)統一"
"1","33","3上","第二棒","NA","NA","NA","二出局","義大(1)","(2)統一","鄭達鴻","內","封殺","1","4.第二棒LF鄭達鴻:內野滾地球，3B接到傳向一壘，二出局"
"1","34","3上","第三棒","NA","NA","NA","三出局","義大(1)","(2)統一","李那瑞","","三振","1","5.第三棒1B李那瑞:三振，三出局"
"1","35","3上","","NA","NA","NA","三出局","義大(1)","(2)統一","","","","1","義大(1):(2)統一"
"1","36","3下","","NA","NA","NA","零出局","義大(1)","(2)統一","","","","2","3下"
"1","37","3下","第一棒","NA","NA","NA","一出局","義大(1)","(2)統一","劉芙豪","內","接殺","2","1.第一棒RF劉芙豪:內野飛球，遭到SS接殺，一出局"
"1","38","3下","第二棒","NA","NA","NA","二出局","義大(1)","(2)統一","郭俊佑","內","接殺","2","2.第二棒CF郭俊佑:內野飛球，遭到C接殺，二出局"
"1","39","3下","第三棒","NA","NA","NA","二出局","義大(1)","(2)統一","潘武雄","中","一壘安打","2","3.第三棒LF潘武雄:中間方向滾地一壘安打"
"1","40","3下","","NA","NA","NA","二出局","義大(1)","(2)統一","","","盜壘失誤","2","潘武雄盜壘成功上到二壘，加上投手傳球失誤，跑者潘武雄上到三壘"
"1","41","3下","第四棒","NA","NA","NA","二出局","義大(1)","(2)統一","鄧志偉","中","二壘安打","2","4.第四棒DH鄧志偉:中外野二壘安打，帶有一分打點"
"1","42","3下","","NA","NA","NA","二出局","義大(1)","(3)統一","","","投手暴投","2","義大(1):(3)統一投手暴投，跑者鄧志偉上到三壘"
"1","43","3下","第五棒","NA","NA","NA","二出局","義大(1)","(3)統一","陳鏞基","內","內野安打","2","5.第五棒SS陳鏞基:游擊方向滾地球，形成內野安打，帶有一分打點"
"1","44","3下","第六棒","NA","NA","NA","三出局","義大(1)","(3)統一","高國慶","右","接殺","2","6.第六棒1B高國慶:右外野飛球遭到接殺，三出局"
"1","45","3下","","NA","NA","NA","三出局","義大(1)","(4)統一","","","","2","義大(1):(4)統一"
"1","46","4上","","NA","NA","NA","零出局","義大(1)","(4)統一","","","","3","4上"
"1","47","4上","第四棒","NA","NA","NA","一出局","義大(1)","(4)統一","林益全","內","封殺","3","1.第四棒DH林益全:內野滾地球，SS接到傳向一壘，一出局"
"1","48","4上","第五棒","NA","NA","NA","二出局","義大(1)","(4)統一","鄭兆行","內","封殺","3","2.第五棒3B鄭兆行:內野滾地球，2B接到傳向一壘，二出局"
"1","49","4上","第六棒","NA","NA","NA","二出局","義大(1)","(4)統一","張建銘","右","一壘安打","3","3.第六棒RF張建銘:右外野一壘安打"
"1","50","4上","第七棒","NA","NA","NA","二出局","義大(1)","(4)統一","陳凱倫","內","內野安打","3","4.第七棒2B陳凱倫:游擊方向滾地球，形成內野安打"
"1","51","4上","第八棒","NA","NA","NA","二出局","義大(1)","(4)統一","林琨笙","左","二壘安打","3","5.第八棒C林琨笙:左外野二壘安打，帶有2分打點"
"1","52","4上","","NA","NA","NA","二出局","義大(3)","(4)統一","","","","3","義大(3):(4)統一"
"1","53","4上","第九棒","NA","NA","NA","二出局","義大(3)","(4)統一","林威廷","中","二壘安打","3","6.第九棒SS林威廷:中外野二壘安打，帶有一分打點"
"1","54","4上","","NA","NA","NA","二出局","義大(4)","(4)統一","","","","3","義大(4):(4)統一"
"1","55","4上","第一棒","NA","NA","NA","三出局","義大(4)","(4)統一","胡金龍","內","封殺","3","7.第一棒CF胡金龍:內野滾地球，1B接到傳給補位的投手，三出局"
"1","56","4上","","NA","NA","NA","三出局","義大(4)","(4)統一","","","","3","義大(4):(4)統一"
"1","57","4下","","NA","NA","NA","零出局","義大(4)","(4)統一","","","","1","4下"
"1","58","4下","第七棒","NA","NA","NA","零出局","義大(4)","(4)統一","黃恩賜","","失誤","1","第七棒3B黃恩賜:(3)B接球失誤"
"1","59","4下","第八棒","NA","NA","NA","零出局","義大(4)","(4)統一","高志綱","","保送","1","1.第八棒C高志綱:四壞球保送，一、二壘有人"
"1","60","4下","","NA","NA","NA","零出局","義大(4)","(4)統一","","","","1","義大更換投手:蕭一傑"
"1","61","4下","第九棒","NA","NA","NA","零出局","義大(4)","(4)統一","王寶篁","","保送","1","2.第九棒2B王寶篁:四壞球保送，滿壘"
"1","62","4下","第一棒","NA","NA","NA","零出局","義大(4)","(4)統一","劉芙豪","中","高飛犧牲打犧牲短打","1","3.第一棒RF劉芙豪:中外野飛球形成高飛犧牲打，帶有一分打點"
"1","63","4下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","1","義大(4):(5)統一"
"1","64","4下","第二棒","NA","NA","NA","二出局","義大(4)","(5)統一","郭俊佑","","三振","1","4.第二棒CF郭俊佑:三振，二出局"
"1","65","4下","第三棒","NA","NA","NA","三出局","義大(4)","(5)統一","潘武雄","內","封殺","1","5.第三棒LF潘武雄:投手正前方平飛球，投手接到傳向一壘，三出局"
"1","66","4下","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","1","義大(4):(5)統一"
"1","67","5上","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","5上"
"1","68","5上","第二棒","NA","NA","NA","一出局","義大(4)","(5)統一","鄭達鴻","內","封殺","0","1.第二棒LF鄭達鴻:內野滾地球，SS接到傳向一壘，一出局"
"1","69","5上","第三棒","NA","NA","NA","二出局","義大(4)","(5)統一","李那瑞","內","封殺","0","2.第三棒1B李那瑞:內野滾地球，SS接到傳向一壘，二出局"
"1","70","5上","第四棒","NA","NA","NA","三出局","義大(4)","(5)統一","林益全","左","接殺","0","3.第四棒DH林益全:外野飛球，LF接殺，三出局"
"1","71","5上","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","0","義大(4):(5)統一"
"1","72","5下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","5下"
"1","73","5下","第四棒","NA","NA","NA","一出局","義大(4)","(5)統一","鄧志偉","內","封殺","0","1.第四棒DH鄧志偉:內野滾地球，投手接到傳向一壘，一出局"
"1","74","5下","第五棒","NA","NA","NA","二出局","義大(4)","(5)統一","陳鏞基","","三振","0","2.第五棒SS陳鏞基:三振，二出局"
"1","75","5下","第六棒","NA","NA","NA","二出局","義大(4)","(5)統一","高國慶","左","一壘安打","0","3.第六棒1B高國慶:游擊防區穿越一壘安打"
"1","76","5下","第七棒","NA","NA","NA","三出局","義大(4)","(5)統一","黃恩賜","中","接殺","0","4.第七棒3B黃恩賜:外野飛球，CF接殺，三出局"
"1","77","5下","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","0","義大(4):(5)統一"
"1","78","6上","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","6上"
"1","79","6上","第五棒","NA","NA","NA","一出局","義大(4)","(5)統一","鄭兆行","內","封殺","0","1.第五棒3B鄭兆行:內野滾地球，3B接到傳向一壘，一出局"
"1","80","6上","第六棒","NA","NA","NA","二出局","義大(4)","(5)統一","張建銘","右","接殺","0","2.第六棒RF張建銘:外野飛球，遭到RF接殺，二出局"
"1","81","6上","第七棒","NA","NA","NA","三出局","義大(4)","(5)統一","陳凱倫","內","封殺","0","3.第七棒2B陳凱倫:內野滾地球，投手接到傳向一壘，三出局"
"1","82","6上","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","0","義大(4):(5)統一"
"1","83","6下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","6下"
"1","84","6下","第八棒","NA","NA","NA","一出局","義大(4)","(5)統一","高志綱","內","封殺","0","1.第八棒C高志綱:內野滾地球，2B接到傳向一壘，一出局"
"1","85","6下","第九棒","NA","NA","NA","一出局","義大(4)","(5)統一","王寶篁","內","內野安打","0","2.第九棒2B王寶篁:內野安打"
"1","86","6下","第一棒","NA","NA","NA","二出局","義大(4)","(5)統一","劉芙豪","中","接殺","0","3.第一棒RF劉芙豪:外野飛球，中外野接殺，二出局"
"1","87","6下","第二棒","NA","NA","NA","二出局","義大(4)","(5)統一","郭俊佑","中","中外野安打","0","4.第二棒CF郭俊佑:中外野安打"
"1","88","6下","第三棒","NA","NA","NA","三出局","義大(4)","(5)統一","潘武雄","內","接殺","0","5.第三棒LF潘武雄:內野平飛球，遭到SS接殺(NP)，三出局"
"1","89","6下","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","0","義大(4):(5)統一"
"1","90","7上","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","7上"
"1","91","7上","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","0","統一更換投手:傅于剛"
"1","92","7上","第八棒","NA","NA","NA","一出局","義大(4)","(5)統一","林琨笙","內","封殺","0","1.第八棒C林琨笙:內野滾地球，SS接到傳向一壘，一出局"
"1","93","7上","第九棒","NA","NA","NA","二出局","義大(4)","(5)統一","林威廷","","三振","0","2.第九棒SS林威廷:三振，二出局"
"1","94","7上","第一棒","NA","NA","NA","二出局","義大(4)","(5)統一","胡金龍","右","一壘安打","0","3.第一棒CF胡金龍:左邊方向穿越一壘安打"
"1","95","7上","","NA","NA","NA","二出局","義大(4)","(5)統一","","","盜壘","0","盜壘成功，胡金龍上到二壘"
"1","96","7上","第二棒","NA","NA","NA","二出局","義大(4)","(5)統一","鄭達鴻","","保送","0","4.第二棒LF鄭達鴻:四壞球保送"
"1","97","7上","第三棒","NA","NA","NA","三出局","義大(4)","(5)統一","李那瑞","內","封殺","0","5.第三棒1B李那瑞:內野滾地球，SS接到傳向一壘(NP)，三出局"
"1","98","7上","","NA","NA","NA","三出局","義大(4)","(5)統一","","","","0","義大(4):(5)統一"
"1","99","7下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","3","7下"
"1","100","7下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","","3","義大更換投手:陳煥揚"
"1","101","7下","第四棒","NA","NA","NA","零出局","義大(4)","(5)統一","鄧志偉","右","一壘安打","3","1.第四棒DH鄧志偉:右邊方向穿越一壘安打"
"1","102","7下","","NA","NA","NA","零出局","義大(4)","(5)統一","","","盜壘","3","統一啟用代跑:方昶詠盜壘成功，方昶詠上到二壘"
"1","103","7下","第五棒","NA","NA","NA","零出局","義大(4)","(5)統一","陳鏞基","左","失誤","3","2.第五棒SS陳鏞基:游擊方向滾地球，靠著野手選擇上到一壘，原二壘跑者方昶詠靠著失誤進佔三壘，跑者分佔一、三壘"
"1","104","7下","第六棒","NA","NA","NA","零出局","義大(4)","(5)統一","高國慶","中","一壘安打","3","3.第六棒1B高國慶:中外野一壘安打，帶有2分打點"
"1","105","7下","","NA","NA","NA","零出局","義大(4)","(7)統一","","","","3","義大(4):(7)統一暴投，跑者高國慶上到二壘"
"1","106","7下","第七棒","NA","NA","NA","零出局","義大(4)","(7)統一","黃恩賜","","保送","3","4.第七棒3B黃恩賜:四壞球保送，跑者分佔一、二壘"
"1","107","7下","","NA","NA","NA","零出局","義大(4)","(7)統一","","","","3","義大再度換投:林彥峰"
"1","108","7下","第八棒","NA","NA","NA","二出局","義大(4)","(7)統一","高志綱","內","","3","5.第八棒C高志綱:內野滾地球，2B接到先傳給SS再傳向一壘，二出局"
"1","109","7下","","NA","NA","NA","二出局","義大(4)","(7)統一","","","","3","統一啟用代打:張泰山"
"1","110","7下","第九棒","NA","NA","NA","二出局","義大(4)","(7)統一","張泰山","左","一壘安打","3","6.第九棒張泰山:游擊方向穿越一壘安打，帶有一分打點"
"1","111","7下","","NA","NA","NA","三出局","義大(4)","(8)統一","","","盜壘失敗","3","義大(4):(8)統一跑者朱元勤盜二壘失敗，三出局"
"1","112","7下","","NA","NA","NA","三出局","義大(4)","(8)統一","","","","3","義大(4):(8)統一"
"1","113","8上","","NA","NA","NA","零出局","義大(4)","(8)統一","","","","0","8上"
"1","114","8上","","NA","NA","NA","零出局","義大(4)","(8)統一","","","","0","統一更換守備:投手邦勝、2B周廣勝"
"1","115","8上","第四棒","NA","NA","NA","零出局","義大(4)","(8)統一","林益全","中","一壘安打","0","1.第四棒DH林益全:中間方向一壘安打"
"1","116","8上","第五棒","NA","NA","NA","一出局","義大(4)","(8)統一","鄭兆行","右","接殺","0","2.第五棒3B鄭兆行:外野飛球，遭到RF接殺，一出局"
"1","117","8上","第六棒","NA","NA","NA","二出局","義大(4)","(8)統一","張建銘","內","","0","3.第六棒RF張建銘:內野滾地球，2B接到傳給SS，打者上到一壘，二出局"
"1","118","8上","第七棒","NA","NA","NA","三出局","義大(4)","(8)統一","陳凱倫","中","接殺","0","4.第七棒2B陳凱倫:外野飛球，遭到CF接殺，三出局"
"1","119","8上","","NA","NA","NA","三出局","義大(4)","(8)統一","","","","0","義大(4):(8)統一"
"1","120","8下","","NA","NA","NA","零出局","義大(4)","(8)統一","","","","0","8下"
"1","121","8下","第一棒","NA","NA","NA","一出局","義大(4)","(8)統一","劉芙豪","右","接殺","0","1.第一棒RF劉芙豪:外野飛球，RF接殺，一出局"
"1","122","8下","第二棒","NA","NA","NA","二出局","義大(4)","(8)統一","郭俊佑","內","封殺","0","2.第二棒CF郭俊佑:內野滾地球，SS接到傳向一壘，二出局"
"1","123","8下","第三棒","NA","NA","NA","三出局","義大(4)","(8)統一","潘武雄","內","封殺","0","3.第三棒LF潘武雄:內野滾地球，SS接到傳向一壘，三出局"
"1","124","8下","","NA","NA","NA","三出局","義大(4)","(8)統一","","","","0","義大(4):(8)統一"
"1","125","9上","","NA","NA","NA","零出局","義大(4)","(8)統一","","","","0","9上"
"1","126","9上","","NA","NA","NA","零出局","義大(4)","(8)統一","","","","0","統一更換投手:郭泓志"
"1","127","9上","第八棒","NA","NA","NA","一出局","義大(4)","(8)統一","林宗男","內","接殺","0","1.第八棒林宗男:內野飛球，SS接殺，一出局"
"1","128","9上","第九棒","NA","NA","NA","二出局","義大(4)","(8)統一","林威廷","內","封殺","0","2.第九棒SS林威廷:內野滾地球，2B接到傳向一壘(NP)，二出局"
"1","129","9上","第一棒","NA","NA","NA","三出局","義大(4)","(8)統一","胡金龍","內","封殺","0","3.第一棒CF胡金龍:內野滾地球，2B接到傳向一壘，三出局"
"1","130","9上","","NA","NA","NA","三出局","義大(4)","(8)統一","","","","0","比賽結束，義大(4):(8)統一"
"2","1","1上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","1上"
"2","2","1上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","統一先發投手:費古洛"
"2","3","1上","第一棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","張正偉","左","接殺","0","1.第一棒RF張正偉:界外飛球，遭到LF接殺，一出局"
"2","4","1上","第二棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","張志豪","","三振","0","2.第二棒CF張志豪:揮棒落空，遭到三振，二出局"
"2","5","1上","第三棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","羅培茲","內","封殺","0","3.第三棒3B羅培茲:內野滾地球，1B接到自踩一壘壘包，三出局"
"2","6","1上","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","7","1下","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","1下"
"2","8","1下","第一棒","NA","NA","NA","零出局","兄弟(0)","(0)統一","劉芙豪","左","一壘安打","0","1.第一棒RF劉芙豪:左外野一壘安打"
"2","9","1下","第二棒","NA","NA","NA","零出局","兄弟(0)","(0)統一","郭俊佑","右","二壘安打","0","2.第二棒CF郭俊佑:中右外野二壘安打"
"2","10","1下","第三棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","潘武雄","內","接殺","0","3.第三棒LF潘武雄:內野上空飛球，遭到2B接殺，一出局"
"2","11","1下","第四棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","鄧志偉","","保送","0","4.第四棒DH鄧志偉:四壞球保送"
"2","12","1下","第五棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","陳鏞基","","三振","0","5.第五棒SS陳鏞基:沒有出棒遭到三振，二出局"
"2","13","1下","第六棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","高國慶","右","接殺","0","6.第六棒1B高國慶:外野飛球，遭到RF接殺，三出局"
"2","14","1下","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","15","2上","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","2上"
"2","16","2上","第四棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","彭政閔","內","接殺","0","1.第四棒1B彭政閔:內野平飛球，遭到1B接殺，一出局"
"2","17","2上","第五棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","周思齊","","三振","0","2.第五棒LF周思齊:揮棒落空，遭到三振，二出局"
"2","18","2上","第六棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","林威助","","三振","0","3.第六棒DH林威助:沒有出棒遭到三振，三出局"
"2","19","2上","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
"2","20","2下","","NA","NA","NA","零出局","兄弟(0)","(0)統一","","","","0","2下"
"2","21","2下","第七棒","NA","NA","NA","一出局","兄弟(0)","(0)統一","黃恩賜","右","接殺","0","1.第七棒3B黃恩賜:外野飛球，遭到RF接殺，一出局"
"2","22","2下","第八棒","NA","NA","NA","二出局","兄弟(0)","(0)統一","高志綱","內","封殺","0","2.第八棒C高志綱:內野滾地球，2B接到傳向一壘，二出局"
"2","23","2下","第九棒","NA","NA","NA","三出局","兄弟(0)","(0)統一","王寶篁","","三振","0","3.第九棒2B王寶篁:沒有出棒遭到三振，三出局"
"2","24","2下","","NA","NA","NA","三出局","兄弟(0)","(0)統一","","","","0","兄弟(0):(0)統一"
